CodEstable,NomEstable,CodSede,NomSede,Tipo,Zona,Direccion,Telefono,EstadoSede,Niveles,Modelos,Grados,X,Y
154001000931,COLEGIO MUNICIPAL MARÍA CONCEPCIÓN LOPERENA.,154001000931,COLEGIO MUNICIPAL MARÍA CONCEPCIÓN LOPERENA,PRINCIPAL,URBANA,AV 11 E 2 117 BR GUAIMARAL,5742857-5747498,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","CAMINAR EN SECUNDARIA,CAMINAR EN SECUNDARIA II,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,FLEXIBLE ESCUELA INTEGRAL,A CRECER,CAMINAR EN SECUNDARIA I,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,31,99",844122.6567,1365817.601
154001000931,COLEGIO MUNICIPAL MARÍA CONCEPCIÓN LOPERENA.,154001010104,ESC DOMINGO SAVIO DOS MIL,SEDE,URBANA,CLL 16HN BARRIO BRISAS DEL AEROPUERTO,NO TIENE,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,21",841660.9012,1367557.553
154001000931,COLEGIO MUNICIPAL MARÍA CONCEPCIÓN LOPERENA.,154001000044,COL BAS GUAIMARAL NO 25,SEDE,URBANA,AV LIBERTADORES CLL 8N BARRIO CIUDAD JARDIN,5741222 - 5773401,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5,6,7,8,9,10,11",844105.2565,1366789.498
154001008151,COL SANTO ANGEL,154001002233,ESC URB JOSE EUSEBIO CARO NO 6,SEDE,URBANA,CLL 22 NO 9-85 BARRIO CUBEROS NIÑO,5835109,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,22,23,24,25,26",842340.8571,1362909.245
154001008151,COL SANTO ANGEL,154001008151,COL SANTO ANGEL,PRINCIPAL,URBANA,LA RINCONADA,5763449,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA",EDUCACIÓN TRADICIONAL,"6,7,8,9,10,11",843461.1291,1362242.522
154001008151,COL SANTO ANGEL,154001002519,ESC  NSTRA SRA DEL ROSARIO NO 27,SEDE,URBANA,AV 20 NO 22-30 BARRIO SAN JOSE,5824971,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5,6,7,8,9,10,11",840989.9098,1363035.24
154001002136,COL FRANCISCO JOSE DE CALDAS,154001005666,CENT EDUC SAN PEDRO CLAVER,SEDE,URBANA,CLL 28 NO 10-45 BARRIO BELLAVISTA,5841886,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26",845312.9692,1363421.654
154001002136,COL FRANCISCO JOSE DE CALDAS,154001007456,CENT EDUC SANTISIMA TRINIDAD,SEDE,URBANA,CLL 3 NO 2-48 BARRIO SAN MATEO PARTE ALTA,5842179,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",844788.7164,1363106.514
154001002136,COL FRANCISCO JOSE DE CALDAS,154001002136,COL FRANCISCO JOSE DE CALDAS,PRINCIPAL,URBANA,CLL 19 NO 19-23,5761334,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","FLEXIBLE ESCUELA INTEGRAL,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26",845741.6289,1363953.74
154001004724,INSTITUTO TÉCNICO ALEJANDRO GUTIÉRREZ CALDERÓN,154001002489,ESC URB SAN JUAN BOSCO NO 15,SEDE,URBANA,CLL 22A NO 22-80 BARRIO GAITAN,5828605,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE","0,1,2,3,4,5,99",840677.4461,1363065.976
154001004724,INSTITUTO TÉCNICO ALEJANDRO GUTIÉRREZ CALDERÓN,154001009925,ESC  NSTRA SRA DE FATIMA,SEDE,URBANA,PARTE ALTA SAN MIGUEL,NO TIENE,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,21,22,23,24,25,26",840775.5205,1364116.677
154001004724,INSTITUTO TÉCNICO ALEJANDRO GUTIÉRREZ CALDERÓN,154001002284,ESC CUNDINAMARCA NO 22,SEDE,URBANA,CLL 12A NO 18-105 BARRIO CUNDINAMARCA,5720756,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",841178.6531,1363614.404
154001004724,INSTITUTO TÉCNICO ALEJANDRO GUTIÉRREZ CALDERÓN,154001004724,INST TEC ALEJANDRO GUTIERREZ CALDERON,PRINCIPAL,URBANA,CL 11 22 40,5730657 5721071,ANTIGUO-ACTIVO,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL,SER HUMANO","6,7,8,9,10,11,21,22,23,24,25,26",840732.6168,1363732.649
154001008967,COL PADRE RAFAEL GARCIA HERREROS,154001000028,ESC URB 28 DE FEBRERO NO 20,SEDE,URBANA,CLL 6A NO 12-118 BARRIO LOMA DE BOLIVAR,5821819,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5",841702.2462,1364473.196
154001008967,COL PADRE RAFAEL GARCIA HERREROS,154001008967,COL PADRE RAFAEL GARCIA HERREROS,PRINCIPAL,URBANA,CLL 7 NO 14-48 BARRIO LOMA DE BOLIVAR,5824884,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE","0,1,2,3,4,5,6,7,8,9,10,11,23,24,25",841571.9859,1364365.5
354001012173,I.E. MONSEÑOR JAIME PRIETO AMAYA,354001012173,I.E. MONSEÑOR JAIME PRIETO AMAYA,PRINCIPAL,URBANA,CL 13 ENTRE AV 15 Y 16,3003416849,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5,6,7,8,9,10,11",846114.8279,1364549.937
354001012181,I.E. MINUTO DE DIOS - POLICARPA SALAVARRIETA,354001012181,I.E. MINUTO DE DIOS - POLICARPA SALAVARRIETA,PRINCIPAL,URBANA,AV 41 31 105,5785412,NUEVO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","EDUCACIÓN TRADICIONAL,SER HUMANO","0,1,2,3,4,5,6,7,8,9,10,11,20",839102.8846,1363210.471
1540010,I.E. JUAN PABLO I,0,SEDE B JUVENTUDES,SEDE,URBANA,AV 9 NO 1-72, ,NUEVO-ACTIVO, , , ,0,0
0,I.E. JUAN PABLO I,0,SEDE A COL RAFAEL NUÑEZ, , , , , , , , ,0,0
